City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Kathu,TH,82.22,clear sky,7.9178,98.3332,Novotel Phuket Resort
286,Montgomery,US,77.68,clear sky,39.1501,-77.1997,"Holiday Inn Gaithersburg, an IHG Hotel"
287,Olenino,RU,75.51,broken clouds,56.2092,33.4889,Kolos
288,Hobyo,SO,77.86,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
291,Natchitoches,US,82.38,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
292,Sao Filipe,CV,78.87,clear sky,14.8961,-24.4956,Hotel Xaguate
294,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
297,Khromtau,KZ,80.29,broken clouds,50.2503,58.4347,Придорожный сервис Кең Дала
298,Peniche,PT,83.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
305,Kaseda,JP,81.93,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
306,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
315,Kasangulu,CD,79.68,broken clouds,-4.5911,15.1708,Hôtel le Relais
320,Bethel,US,75.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
322,Margate,GB,85.1,clear sky,51.3813,1.3862,Premier Inn Margate hotel
323,Caorle,IT,82.24,scattered clouds,45.5966,12.8758,Maxim
326,Oyama,JP,84.58,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
327,Sao Jose Da Coroa Grande,BR,78.89,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
329,Basi,IN,79.14,moderate rain,26.8333,76.0333,Aloriya Farm House
330,Tautira,PF,77.32,scattered clouds,-17.7333,-149.15,Pension Oaoa
331,Zhezkazgan,KZ,84.18,scattered clouds,47.8043,67.7144,Hotel Zumrat
332,Acajutla,SV,82.11,broken clouds,13.5928,-89.8275,Laureles
335,Cockburn Town,TC,81.97,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
336,Hanzhong,CN,81.25,clear sky,33.0728,107.0303,Guorui Hotel
337,Altar,MX,85.55,broken clouds,30.7,-111.8167,Hotel Maria Elena
338,Rumonge,BI,81.16,few clouds,-3.9736,29.4386,Kwetu Guest House
339,Augusto Correa,BR,88.14,few clouds,-1.0217,-46.635,Fazenda Bacuri
341,Boali,CF,81.03,light rain,4.8005,18.1275,Auberge des Cocotiers Boali poste
344,Tiarei,PF,77.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
345,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
347,Lata,PT,85.5,clear sky,40.1629,-8.3327,Casa Maquia
353,Langsa,ID,75.4,broken clouds,4.4683,97.9683,OYO 3328 Hotel Mori
354,Bonthe,SL,80.31,light rain,7.5264,-12.505,Bonthe Holiday Village
357,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
359,Shingu,JP,78.94,moderate rain,33.7333,135.9833,Shingu UI Hotel
362,Guangyuan,CN,81.55,scattered clouds,32.442,105.823,Guangyuan Poetry Hotel
364,Kinablangan,PH,79.23,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
365,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
370,Puerto Colombia,CO,86.09,broken clouds,10.9878,-74.9547,Hotel El Emigrante
371,Xochistlahuaca,MX,76.48,overcast clouds,16.7833,-98.25,La frontera
376,Dakar,SN,86.13,light rain,14.6937,-17.4441,Novotel Dakar
378,Chavakkad,IN,78.37,broken clouds,10.5333,76.05,Rajah Island
380,Ozinki,RU,84.2,clear sky,51.1786,49.6769,Korolevskiy Dvor
384,Police,PL,88.54,few clouds,53.5521,14.5718,Hotel Dobosz
385,Gushikawa,JP,85.23,clear sky,26.3544,127.8686,Kirari Guest House
387,Huicungo,PE,77.25,few clouds,-7.2833,-76.8,Gran Pajaten Trek
394,Mathathane,BW,81.5,clear sky,-22.2687,28.7495,Selepswe Resort
396,Jiexiu,CN,81.66,broken clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
